     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
281.5,21.7975,13.6905,26.1543,639.282,Dry
281.8,1,13.5984,25.7884,608.013,Dry
282,1,13.5064,25.4891,708.769,Dry
282.3,1,13.4603,25.3561,736.564,Dry
282.5,1,13.4603,25.3561,660.128,Dry
282.8,1,13.4603,24.957,840.795,Dry
283,11.3988,13.5524,24.7574,715.718,Dry
283.3,1,13.4603,24.6909,847.744,Dry
283.5,1,13.3222,24.7574,729.615,Dry
283.8,11.3988,13.3222,24.5579,687.923,Dry
284,11.3988,13.138,24.4913,715.718,Dry
284.3,6.19939,13.2761,24.3583,819.949,Dry
284.5,1,13.138,24.4248,813,Dry
284.8,1,13.138,24.0922,639.282,Dry
285,42.5951,12.9999,24.1588,667.077,Dry
285.3,1,13.069,24.4248,694.872,Dry
285.5,1,13.138,24.2253,680.974,Dry
285.8,1,13.2301,23.8262,753.936,Dry
286,11.3988,13.5064,23.6599,840.795,Dry
286.3,11.3988,13.6675,23.4271,757.41,Dry
